The Burden of Obesity on Diabetes in the United States: Medical Expenditure Panel Survey; 2008 to 2012.;/pubmed/28212973;Leung MY, Carlsson NP, Colditz GA, Chang SH.;Value Health. 2017 Jan;;;;;;;;;;;;;;
Evaluating the effectiveness of peer-based intervention in managing type I diabetes mellitus among children and adolescents: A systematic review.;/pubmed/28210607;Kazemi S, Parvizy S, Atlasi R, Baradaran HR.;Med J Islam Repub Iran. 2016 Nov 19;;;;;;;;;;;;;;;
Acute Hyperglycemia Associated with Psychotic Symptoms in a Patient with Type 1 Diabetes Mellitus: A Case Report.;/pubmed/28210522;Sahoo S, Mehra A, Grover S.;Innov Clin Neurosci. 2016 Dec 1;;;;;;;;;;;;;;;
The Relation Between Depressive Symptoms and Self-Care in Patients with Diabetes Mellitus Type 2 in Kosovo.;/pubmed/28210013;Sopjani I, Vehapi S, Gorani D, Imeri M, Vitoja S, Tahiri S.;Med Arch. 2016 Dec;;;;;;;;;;;;;;;
A Comparative Evaluation of Serum Magnesium in Diabetes Mellitus Type 2 Patients with and without Periodontitis - A Clinico-biochemical Study.;/pubmed/28209006;Shetty A, Bhandary R, Thomas B, Ramesh A.;J Clin Diagn Res. 2016 Dec;;;;;;;;;;;;;;;
Role of Altered Venous Blood Lactate and HbA1c in Women with Gestational Diabetes Mellitus.;/pubmed/28208845;Nagalakshmi CS, Santhosh NU, Krishnamurthy N, Chethan C, Shilpashree MK.;J Clin Diagn Res. 2016 Dec;;;;;;;;;;;;;;;
Assessment of Serum VASPIN Levels among Type 2 Diabetes Mellitus Patients with or without Acute Coronary Syndrome.;/pubmed/28208842;Sathyaseelan AJ, Adole PS, Wyawahare M, Saya RP.;J Clin Diagn Res. 2016 Dec;;;;;;;;;;;;;;;
Re: 5-Alpha-Reductase Inhibitors and the Risk of Diabetes Mellitus: A Nationwide Population-Based Study.;/pubmed/28208547;Kaplan SA.;J Urol. 2017 Mar;;;;;;;;;;;;;;;
Blood versus urine ketone monitoring in a pediatric cohort of patients with type 1 diabetes: a crossover study.;/pubmed/28203360;Goffinet L, Barrea T, Beauloye V, Lysy PA.;Ther Adv Endocrinol Metab. 2017 Jan;;;;;;;;;;;;;;;
Combined Effects of a Dietary Fiber Mixture and Wheat Albumin in a Rat Model of Type 2 Diabetes Mellitus.;/pubmed/28202847;Kubo K, Koido A, Kitano M, Yamamoto H, Saito M.;J Nutr Sci Vitaminol (Tokyo). 2016;;;;;;;;;;;;;;;
Title;URL;Description;Details;ShortDetails;Resource;Type;Identifiers;Db;EntrezUID;Properties;;;;;;;;
Factors associated with glycemic control in people with diabetes at the Family Health Strategy in Pernambuco.;/pubmed/28198958;Lima RF, Fontbonne A, Carvalho EM, Montarroyos UR, Barreto MN, Cesse EÂ.;Rev Esc Enferm USP. 2016 Nov-Dec;;;;;;;;;;;;;;;
Diabetes services and care provision.;/pubmed/28197524;Kareem N, Nazar CM, Mahmud SN, Ahmed A, Akhtar MH.;J Nephropharmacol. 2016 Aug 9;;;;;;;;;;;;;;;
